Index,SMILES,ST Gap,HL Gap,S1,T1
215,c1nc2nc3ncn(-c4c5ncoc5cc5ncoc45)c3cc2[nH]1,0.7315,4.19191617,3.6715,2.94
216,c1cnc2sc3ncc(-n4cnc5nc6nc[nH]c6cc54)cc3c2c1,0.4627,4.07626772,3.5529,3.0902
217,c1nc2nc3ncn(-c4c5ncsc5cc5ncsc45)c3cc2[nH]1,0.6399,3.978034566,3.4465,2.8066
218,N#Cc1nc2cc3ocnc3cc2o1,1.4826,4.513282804,4.2703,2.7877
219,c1ncc(-c2nc3cc4ocnc4cc3o2)cn1,1.184,4.226474648,3.89,2.706
220,c1cc(-c2nc3cc4ocnc4cc3o2)c2nccnc2c1,0.9422,3.6191162,3.2387,2.2965
221,FC(F)(F)c1cccc(-c2nc3cc4ocnc4cc3o2)c1,1.2969,4.25450239,3.9961,2.6992
222,c1cc(-c2ccc(-c3nc4cc5ocnc5cc4o3)cc2)ccn1,1.138,4.006062308,3.7187,2.5807
223,O=C1C=CC(=O)c2c1cccc2-c1nc2cc3ocnc3cc2o1,0.2733,2.901823696,2.3806,2.1073
224,c1nc2cc3oc(-c4coc5nc6occc6nc45)nc3cc2o1,0.9573,3.899121506,3.4829,2.5256
225,Fc1c(F)c(F)c(-c2nc3cc4ocnc4cc3o2)c(F)c1F,1.2548,4.27627151,4.0071,2.7523
226,c1cnc2c(c1)[SiH2:2]c1cc(-c3nc4cc5ocnc5cc4o3)cnc1-2,1.0711,3.86673994,3.5648,2.4937
227,c1nc(-c2cc3nc4ccoc4nc3o2)no1,1.3503,4.199263248,3.9255,2.5752
228,c1ncc(-c2cc3nc4ccoc4nc3o2)cn1,1.2858,4.006606536,3.7567,2.4709
229,N#Cc1ccc(-c2cc3nc4ccoc4nc3o2)c(C#N)c1,1.1547,3.63544304,3.3942,2.2395
230,c1cc(-c2cc3nc4ccoc4nc3o2)c2nccnc2c1,1.0033,3.45176609,3.0744,2.0711
231,c1cc2nccc(-c3cc4nc5ccoc5nc4o3)c2cn1,1.1703,3.807963316,3.49,2.3197
232,c1cc(-c2cc3nc4ccoc4nc3o2)c2cnncc2n1,0.5426,3.612041236,2.8433,2.3007
233,O=[SH](=O)c1cccc(-c2cc3nc4ccoc4nc3o2)c1,1.2675,3.966605778,3.709,2.4415
234,c1nc2nc3nc(-c4cc5nc6ccoc6nc5o4)oc3cc2o1,1.1427,3.670001518,3.4401,2.2974
235,c1cc2c(cn1)[SiH2:2]c1cncc(-c3cc4nc5ccoc5nc4o3)c1-2,0.8859,4.102662778,3.6043,2.7184
236,c1cnc2sc3ccc(-c4cc5nc6ccoc6nc5o4)cc3c2c1,1.107,3.782928828,3.4964,2.3894
237,c1nc2nc3ncn(-c4cnoc4)c3nc2[nH]1,0.8639,4.525527934,3.808,2.9441
238,Cn1cnnc1-n1cnc2nc3nc[nH]c3nc21,0.8224,4.622400518,3.7896,2.9672
239,O=C1C=C(n2cnc3nc4nc[nH]c4nc32)C(=O)N1,0.7316,3.809051772,3.2444,2.5128
240,O=Cc1ccc(-n2cnc3nc4nc[nH]c4nc32)cc1,0.6625,4.40144395,3.6322,2.9697
241,c1cc(-n2cnc3nc4nc[nH]c4nc32)c2nccnc2c1,0.7409,3.822929586,3.2843,2.5434
242,c1cncc(-c2ccc(-n3cnc4nc5nc[nH]c5nc43)cc2)c1,0.833,4.481989694,3.7906,2.9576
